1000001,1000001,152.0,0.25,608,_),10.13 TPS (10.13 / 10.13 / 10.13),,,
1000002,1000001,152.0,0.25,608,_),,,,
1000003,1000001,152.0,0.25,608,_),,,,
1000101,1000002,112.0,0.25,448,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),7.47 TPS (7.47 / 7.47 / 7.47),,,
1000102,1000002,112.0,0.25,448,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),,,,
1000103,1000002,112.0,0.25,448,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),,,,
1000201,1000003,150.0,0.125,1200,(Chromatique) Etude Op.10 No.2,20.0 TPS (20.0 / 20.0 / 20.0),,,
1000202,1000003,150.0,0.125,1200,(Chromatique) Etude Op.10 No.2,,,,
1000203,1000003,150.0,0.125,1200,(Chromatique) Etude Op.10 No.2,,,,
1000301,1000004,132.0,0.25,528,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),8.8 TPS (8.8 / 8.8 / 8.8),,,
1000302,1000004,132.0,0.25,528,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),,,,
1000303,1000004,132.0,0.25,528,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),,,,
1000401,1000005,132.0,0.25,528,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),8.8 TPS (8.8 / 8.8 / 8.8),,,
1000402,1000005,132.0,0.25,528,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),,,,
1000403,1000005,132.0,0.25,528,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),,,,
1000501,1000006,1.0,0.25,4,(Waterfall) Etude Op.10 No.1,0.07 TPS (0.07 / 0.07 / 0.07),,,
1000502,1000006,1.0,0.25,4,(Waterfall) Etude Op.10 No.1,,,,
1000503,1000006,1.0,0.25,4,(Waterfall) Etude Op.10 No.1,,,,
1000601,1000007,120.0,0.25,480,(WIP) The Hell Song,8.0 TPS (8.0 / 8.0 / 8.0),,,
1000602,1000007,120.0,0.25,480,(WIP) The Hell Song,,,,
1000603,1000007,120.0,0.25,480,(WIP) The Hell Song,,,,
1000701,1000008,423.0,1.0,423,(Xi vs Ice)Scherzo -pain in rain-,7.59 TPS (7.05 / 7.05 / 8.67),,,
1000702,1000008,423.0,1.0,423,(Xi vs Ice)Scherzo -pain in rain-,,,,
1000703,1000008,520.0,1.0,520,(Xi vs Ice)Scherzo -pain in rain-,,,,
1000801,1000009,1.0,0.5,2,#Cookie Jar,0.03 TPS (0.03 / 0.03 / 0.03),,,
1000802,1000009,1.0,0.5,2,#Cookie Jar,,,,
1000803,1000009,1.0,0.5,2,#Cookie Jar,,,,
1000901,1000010,7.5,0.25,30,0.500 TPS,0.5 TPS (0.5 / 0.5 / 0.5),,,
1000902,1000010,7.5,0.25,30,0.500 TPS,,,,
1000903,1000010,7.5,0.25,30,0.500 TPS,,,,
1001001,1000011,80.0,0.25,320,1 000 000 NOTES,10.11 TPS (5.33 / 12.5 / 12.5),,,
1001002,1000011,187.5,0.25,750,1 000 000 NOTES,,,,
1001003,1000011,187.5,0.25,750,1 000 000 NOTES,,,,
1001101,1000012,35.0,0.25,140,1 000 TPS,2.33 TPS (2.33 / 2.33 / 2.33),,,
1001102,1000012,35.0,0.25,140,1 000 TPS,,,,
1001103,1000012,35.0,0.25,140,1 000 TPS,,,,
1001201,1000013,1.0,0.0625,16,1 Age Long Song,0.27 TPS (0.27 / 0.27 / 0.27),,,
1001202,1000013,1.0,0.0625,16,1 Age Long Song,,,,
1001203,1000013,1.0,0.0625,16,1 Age Long Song,,,,
1001301,1000014,200.0,0.25,800,1 Con Vit,13.33 TPS (13.33 / 13.33 / 13.33),,,
1001302,1000014,200.0,0.25,800,1 Con Vit,,,,
1001303,1000014,200.0,0.25,800,1 Con Vit,,,,
1001401,1000015,1.0,0.0625,16,1 Day Long Song but its 10000 TPS,0.27 TPS (0.27 / 0.27 / 0.27),,,
1001402,1000015,1.0,0.0625,16,1 Day Long Song but its 10000 TPS,,,,
1001403,1000015,1.0,0.0625,16,1 Day Long Song but its 10000 TPS,,,,
